,vehicle_id,linha_gps,linha_gtfs,distance,trip_id,departure_time,arrival_time,trajectory_type,elapsed_time,average_speed,hour
2,10306,22,22,6199.3,22_0_U,2021-08-12 07:15:00,2021-08-12 07:30:00,1,15,24.8,2021-08-12 07:00:00
3,10306,22,22,6199.3,22_0_U,2021-08-12 07:55:00,2021-08-12 08:10:00,1,15,24.8,2021-08-12 07:00:00
4,10306,22,22,6199.3,22_0_U,2021-08-12 08:55:00,2021-08-12 09:10:00,1,15,24.8,2021-08-12 08:00:00
8,10306,22,22,6330.1,22_1_U,2021-08-12 07:45:00,2021-08-12 07:55:00,1,10,38.0,2021-08-12 07:00:00
9,10306,22,22,6330.1,22_1_U,2021-08-12 08:40:00,2021-08-12 08:55:00,1,15,25.3,2021-08-12 08:00:00
28,10306,40A,40A,19873.2,40A_0_U,2021-08-06 15:15:00,2021-08-06 16:10:00,1,55,21.7,2021-08-06 15:00:00
29,10306,40A,40A,19873.2,40A_0_U,2021-08-09 14:10:00,2021-08-09 14:55:00,1,45,26.5,2021-08-09 14:00:00
30,10306,40A,40A,19873.2,40A_0_U,2021-08-09 16:10:00,2021-08-09 16:55:00,1,45,26.5,2021-08-09 16:00:00
33,10306,40A,40A,19873.2,40A_0_U,2021-08-13 04:25:00,2021-08-13 05:15:00,1,50,23.8,2021-08-13 04:00:00
34,10306,40A,40A,19445.9,40A_1_U,2021-08-06 04:05:00,2021-08-06 04:50:00,1,45,25.9,2021-08-06 04:00:00
35,10306,40A,40A,19445.9,40A_1_U,2021-08-09 05:25:00,2021-08-09 06:10:00,1,45,25.9,2021-08-09 05:00:00
36,10306,40A,40A,19445.9,40A_1_U,2021-08-09 15:20:00,2021-08-09 16:05:00,1,45,25.9,2021-08-09 15:00:00
39,10306,40A,40A,19445.9,40A_1_U,2021-08-13 03:35:00,2021-08-13 04:25:00,1,50,23.3,2021-08-13 03:00:00
40,10306,40A,40A,19445.9,40A_1_U,2021-08-13 05:25:00,2021-08-13 06:05:00,1,40,29.2,2021-08-13 05:00:00
41,10306,41,41,19498.7,41_0_U,2021-08-10 04:35:00,2021-08-10 05:15:00,1,40,29.2,2021-08-10 04:00:00
42,10306,41,41,19498.7,41_0_U,2021-08-10 06:20:00,2021-08-10 06:55:00,1,35,33.4,2021-08-10 06:00:00
43,10306,41,41,19498.7,41_0_U,2021-08-10 08:20:00,2021-08-10 09:00:00,1,40,29.2,2021-08-10 08:00:00
44,10306,41,41,19498.7,41_0_U,2021-08-10 10:20:00,2021-08-10 10:55:00,1,35,33.4,2021-08-10 10:00:00
45,10306,41,41,19498.7,41_0_U,2021-08-10 12:10:00,2021-08-10 13:00:00,1,50,23.4,2021-08-10 12:00:00
46,10306,41,41,19498.7,41_0_U,2021-08-10 14:20:00,2021-08-10 15:05:00,1,45,26.0,2021-08-10 14:00:00
48,10306,41,41,19498.7,41_0_U,2021-08-11 07:40:00,2021-08-11 08:15:00,1,35,33.4,2021-08-11 07:00:00
49,10306,41,41,19498.7,41_0_U,2021-08-11 09:30:00,2021-08-11 10:20:00,1,50,23.4,2021-08-11 09:00:00
50,10306,41,41,19498.7,41_0_U,2021-08-11 11:40:00,2021-08-11 12:20:00,1,40,29.2,2021-08-11 11:00:00
51,10306,41,41,19498.7,41_0_U,2021-08-11 15:35:00,2021-08-11 16:20:00,1,45,26.0,2021-08-11 15:00:00
52,10306,41,41,19776.8,41_1_U,2021-08-10 03:40:00,2021-08-10 04:25:00,1,45,26.4,2021-08-10 03:00:00
53,10306,41,41,19776.8,41_1_U,2021-08-10 05:30:00,2021-08-10 06:10:00,1,40,29.7,2021-08-10 05:00:00
54,10306,41,41,19776.8,41_1_U,2021-08-10 07:05:00,2021-08-10 07:55:00,1,50,23.7,2021-08-10 07:00:00
55,10306,41,41,19776.8,41_1_U,2021-08-10 09:15:00,2021-08-10 10:00:00,1,45,26.4,2021-08-10 09:00:00
